metric,value
mrr@10,0.4922596560846561
num_eval_examples,3000.0
recall@1,0.0904616375942577
recall@10,0.43696334169478906
recall@20,0.5880231028060756
recall@30,0.6895988667896099
recall@5,0.3098415070182848
recall@50,0.8165033077960875
