metric,value
mrr@10,0.29486560846560844
num_eval_examples,3000.0
recall@1,0.031151470561905703
recall@10,0.24594173129717367
recall@20,0.4027598708257314
recall@30,0.5230436341799595
recall@5,0.1458627552178082
recall@50,0.7121706163178835
